Date	Transfection.Type	Cell.Label	Temperature	Std	IntDen	cellID
191205	GFP-V60	B	23	184.08762	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	23.2	185.41142	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	23.5	182.08912	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	23.7	192.07429	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	24	191.13752	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	24.3	186.85168	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	24.6	186.13695	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	24.9	197.40821	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	25.2	196.65873	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	25.5	193.24444	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	25.8	206.81929	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	26.2	206.6495	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	26.5	210.11286	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	26.8	210.08964	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	27.1	209.42693	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	27.5	207.39893	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	27.9	215.65857	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	28.2	211.59782	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	28.5	209.14577	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	28.9	209.40853	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	29.3	205.97725	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	29.6	208.87424	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	29.9	216.96292	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	30.3	219.22982	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	30.8	219.15054	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	31.1	225.15477	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	31.5	224.19613	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	31.8	224.15418	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	32.1	222.68389	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	32.5	223.12623	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	32.9	224.93425	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	33.3	226.71905	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	33.6	226.65059	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	34.1	238.46227	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	34.6	232.66838	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	34.9	225.35849	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	35.3	220.44751	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	35.5	213.29494	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	35.9	204.55839	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	36.3	197.28439	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	36.9	194.43623	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	37.2	188.71344	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	37.6	195.52267	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	37.9	198.66956	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	38.3	191.93368	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	38.6	194.16657	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	38.9	184.76896	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	39.3	184.69349	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	39.6	189.62143	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	39.9	187.33072	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	40.1	198.02911	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	40.3	204.57551	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	40.5	218.37634	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	40.7	225.08858	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	40.9	233.8311	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.1	255.50169	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.3	243.99031	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.4	265.70787	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.5	278.69678	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.6	285.54639	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.8	286.83095	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	41.9	285.58435	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	42.1	349.47475	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	42.2	309.32699	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	42.4	268.41853	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	42.5	386.94341	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	42.7	359.65549	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	42.9	410.92946	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	43.1	402.95779	83043.53112	191205.GFP-V60.B
191205	GFP-V60	B	43.3	400.55233	83043.53112	191205.GFP-V60.B
200117	GFP-V60	A	19.8	2783.1522	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	19.9	2782.45927	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	20.1	2981.48713	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	20.3	2929.52968	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	20.4	3005.21082	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	20.6	2997.29191	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	20.7	2993.70667	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	20.9	3070.11797	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	21	3061.26225	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	21.2	3071.86242	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	21.4	3140.98878	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	21.7	3133.24303	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	21.9	3163.34615	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	22.1	3179.36084	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	22.3	3081.07724	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	22.6	3083.02789	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	22.8	3159.68838	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	23.1	3263.04045	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	23.3	3291.7176	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	23.6	3332.29542	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	23.8	3185.02729	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	24.1	3236.36272	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	24.4	3311.14941	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	24.7	3256.91402	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	25	3296.4499	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	25.3	3286.64039	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	25.6	3306.21041	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	25.9	3325.48978	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	26.1	3334.95719	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	26.4	3358.39976	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	26.7	3322.07625	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	26.9	3340.1191	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	27.2	3386.49375	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	27.5	3382.23146	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	27.8	3421.91954	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	28.1	3462.15044	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	28.4	3523.33079	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	28.7	3565.02872	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	28.9	3422.38093	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	29.2	3444.50231	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	29.5	3483.33938	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	29.8	3514.04808	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	30.2	3574.79892	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	30.5	3514.90035	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	30.8	3531.8346	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	31.1	3590.77279	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	31.4	3869.61673	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	31.7	4282.0659	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	32	4609.50096	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	32.3	4846.75877	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	32.6	5039.93013	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	32.9	5392.01719	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	33.2	5395.69778	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	33.5	5628.34509	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	33.9	5653.59166	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	34.2	5790.13884	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	34.5	5915.08411	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	34.8	6002.90971	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	35.1	6063.63825	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	35.4	6110.47383	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	35.7	5997.24202	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	36	6118.83574	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	36.2	6160.29494	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	36.5	6072.16311	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	36.8	6092.76689	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	37.1	6111.14688	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	37.4	6129.543	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	37.6	6227.85725	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	37.8	6268.10394	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	38.1	6182.04087	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	38.3	6103.73108	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	38.6	6284.4458	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	38.8	6017.89946	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	39.1	6187.34548	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	39.3	5893.51435	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	39.5	6031.89767	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	39.7	5964.37722	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	40	5833.62271	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	40.3	6059.41671	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	40.6	5879.16909	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	40.9	5754.07685	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	41.1	5718.48684	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	41.3	5858.81066	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	41.5	5710.40912	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	41.7	5780.93293	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	41.9	5704.10281	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	42.1	5710.53938	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	42.3	5919.30809	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	42.5	5919.95593	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	42.6	5919.95593	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	42.8	5967.82774	2714804.343	200117.GFP-V60.A
200117	GFP-V60	A	42.9	5902.20711	2714804.343	200117.GFP-V60.A
200117	GFP-V60	B	19.8	669.80876	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	19.9	645.95238	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	20.1	728.39917	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	20.3	712.27527	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	20.4	723.76244	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	20.6	749.25126	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	20.7	726.04406	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	20.9	742.76445	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	21	750.47735	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	21.2	738.56235	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	21.4	746.72941	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	21.7	727.09396	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	21.9	748.56591	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	22.1	733.88335	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	22.3	744.95688	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	22.6	772.71881	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	22.8	775.04374	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	23.1	813.53585	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	23.3	794.69099	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	23.6	828.42859	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	23.8	894.87237	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	24.1	783.18516	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	24.4	797.0648	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	24.7	816.79622	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	25	854.09748	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	25.3	811.69441	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	25.6	817.94194	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	25.9	852.89195	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	26.1	875.97561	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	26.4	838.7645	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	26.7	848.51866	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	26.9	882.65147	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	27.2	843.70176	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	27.5	860.58017	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	27.8	890.58176	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	28.1	864.13876	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	28.4	882.39493	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	28.7	920.49246	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	28.9	872.42819	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	29.2	887.72191	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	29.5	909.41357	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	29.8	942.26301	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	30.2	895.52288	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	30.5	903.27613	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	30.8	925.8719	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	31.1	949.24022	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	31.4	911.14604	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	31.7	909.07904	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	32	925.17291	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	32.3	950.08135	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	32.6	976.67459	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	32.9	928.04436	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	33.2	940.52023	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	33.5	945.14761	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	33.9	959.89435	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	34.2	969.22626	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	34.5	981.03485	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	34.8	978.85935	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	35.1	990.43008	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	35.4	995.20582	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	35.7	1007.89343	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	36	1028.07783	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	36.2	1041.65175	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	36.5	1095.44998	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	36.8	1172.78012	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	37.1	1292.40564	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	37.4	1360.67581	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	37.6	1432.19461	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	37.8	1550.42118	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	38.1	1620.6466	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	38.3	1636.8722	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	38.6	1790.4462	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	38.8	1680.39029	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	39.1	1750.85383	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	39.3	1665.20393	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	39.5	1818.72112	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	39.7	1808.20606	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	40	1741.29727	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	40.3	1916.56714	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	40.6	1809.88911	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	40.9	1819.31984	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	41.1	1797.44166	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	41.3	1860.63046	816161.3213	200117.GFP-V60.B
200117	GFP-V60	B	41.5	1809.17846	816161.3213	200117.GFP-V60.B
